,Titulares,Texto,Otros_datos
90,"Coronavirus España hoy, última hora | Los inmunizados no tendrán que guardar cuarentena por haber mantenido contacto estrecho con positivos","Talavera de la Reina, 1984. Alberto Jiménez es la voz de Miss Caffeina, uno de los grupos con mejor acogida del pop español, que acaba de iniciar su gira para salir de la pandemia. El viernes actúa en Alicante, el 29 de julio en Inca (Mallorca), el 30 de ese mes en Valencia y el 6 de agosto en Cádiz...","noticia
porcentaje
Coincidencia 73%
23/06/2021ISABEL VELLOSO , NOELIA MARÍN , JAVIER MUNERA"
91,"Los del Río: ""Con los derechos de autor de la Macarena se pueden dar muchas vueltas al mundo""","Sanidad notifica 30 muertes y 4.040 nuevos contagios mientras se frena la bajada de la incidencia, que permanece en 92 casos","noticia
porcentaje
Coincidencia 73%
23/06/2021MARTA GONZÁLEZ-HONTORIA"
92,El nuevo ritmo de la noche de Madrid: barras reactivadas y permiso para bailar en julio,"Fans del dúo sevillano tienen la oportunidad de alojarse durante dos noches en una hacienda andaluza de Airbnb para celebrar con ellos los 25 años de la llegada de la 'Macarena' al número uno en la lista de éxitos pop de Estados Unidos. Hablamos con Los del Río de aquellos años, del éxito y de sus...","noticia
porcentaje
Coincidencia 72%
23/06/2021MARÍA VAQUERO"
93,"Amazon Prime Day 2021, en directo: estos son los 50 chollos y las ofertas que no te puedes perder en los últimos minutos",La asociación Noche Madrid augura que la evolución de la pandemia permitirá relajar las medidas y que será posible recaudar hasta tres millones de euros diarios para el sector,"noticia
porcentaje
Coincidencia 74%
23/06/2021BAZAR"
94,"Ana Torroja, la joven que rechazó un título aristocrático y llegó a odiar la fama tras el éxito de Mecano","¿Qué merece la pena comprar? ¿Cuánto me ahorro si compro en Prime Day? Aquí tienes las mejores ofertas y los descuentos más jugosos de hasta el 86% en todas las tecnologías: belleza, moda, tecnología, videojuegos, productos de supermercado...","noticia
porcentaje
Coincidencia 74%
22/06/2021LUIS FERNANDO ROMO"
95,"Amazon Prime Day 2021: estos son los 50 mayores chollos, con un descuento de hasta el 86%","La voz de Ana Torroja (61) es una de las más reconocibles del panorama musical hispano; sin embargo, su andadura como solista tras la última gira de Mecano en 1992 no ha terminado de despegar. Puntos cardinales, Frágil o Sonrisas son algunos de los álbumes que ha publicado la mayor ...","noticia
porcentaje
Coincidencia 70%
22/06/2021BAZAR"
96,"Amistades Peligrosas, sobre su reencuentro: ""Fue Cristina la que detonó la ruptura... pero ahora fluimos en el escenario""","Un videojuego de voleibol para la PS4 al 86,1%, un tablet de escritura para niños al 82,2%, una crema hidratante Diadermine al 80% y otras trece gangas que no puedes perderte en el gran evento de la plataforma 'online'","noticia
porcentaje
Coincidencia 76%
22/06/2021"
97,"Culo, de Lola Indigo y KHEA: letra y vídeo","Tras 23 años en guerra -una llena de disgustos, desencuentros e insultos-, Amistades Peligrosas ha decidido honrar su 'basta ya de tanta tontería', dejar sus problemas de lado y volver a abrazarse en un escenario. De hecho, eso es lo que sucederá este viernes en el Teatro Rialto de Madrid, cuando...","noticia
porcentaje
Coincidencia 74%
22/06/2021TRESB"
98,"Las mejores ofertas de Under Armour en el Amazon Prime Day 2021: unas zapatillas al 50%, auriculares inalámbricos con tecnología JBL...","La 'triunfita' ha lanzado una nueva colaboración como adelanto de su segundo disco, que publicará en julio","noticia
porcentaje
Coincidencia 72%
22/06/2021BAZAR"
99,Estos son los festivales a los que podrás ir este verano,"Último día de descuentos, te quedan solo unas horas para aprovechar el Amazon Prime Day 2021. Nosotros te ayudamos a dar con las mejores gangas","noticia
porcentaje
Coincidencia 86%
22/06/2021M. CANALES"
100,El ocio nocturno propone implantar el certificado digital de la UE en discotecas y pubs,La temporada de festivales está a punto de comenzar,"noticia
porcentaje
Coincidencia 74%
22/06/2021RAQUEL VILLAÉCIJA"
101,Así 'amargan' unos vecinos el aperitivo a Gabriel Rufián y a su novia con el himno de España,"El ocio nocturno ha pedido poder usar el certificado Covid de la UE para las instalaciones recreativas, pubs y discotecas. 'Reclamamos que este certificado se implante en los locales, pues daría tranquilidad a usuarios y empresarios', ha señalado Ramón Mas, presidente de España de noche, durante la ...","noticia
porcentaje
Coincidencia 76%
22/06/2021LOC"
102,"Conservatorio Superior de Castellón: ahora es el edificio, 24 años atrás, la titulación","El político de ERC y su novia, del PNV, disfrutaban de una cerveza en la puerta de un bar cuando pusieron el himno de España","noticia
porcentaje
Coincidencia 80%
22/06/2021CHELO PASTOR"
103,"La ""pesadilla"" del líder de Delacueva, el grupo del sobrino de Fernando Simón, detenido por error: ""El mal trago me lo he llevado igual""","La comunidad educativa sale a la calle para pedir que su edificio 'vuelva' al Plan General. En 1997 se reivindicó el grado superior de Música y el profesional de Danza, que no llegó hasta 2018","noticia
porcentaje
Coincidencia 72%
22/06/2021EFE"
104,"Andrés Calamaro: ""El que no quiere a Julio Iglesias no quiere ni a su madre""","La Policía lo detuvo el domingo antes de su concierto debut en Madrid, acusado de estafa","noticia
porcentaje
Coincidencia 86%
22/06/2021LUCAS PÉREZ"
105,"Amazon Prime Day 2021, los mejores descuentos y los grandes chollos, en directo: una Smart TV de Samsung, un Xiaomi Redmi Note 9, una Roomba al 62%...","El argentino se rodea de 19 compañeros de viaje para versionar sus canciones en 'Dios los cría', su primer trabajo tras el confinamiento: 'Los de la pandemia no están siendo los peores momentos y en peores plazas hemos toreado', asegura.","noticia
porcentaje
Coincidencia 73%
22/06/2021BAZAR"
106,La familia de Meryl Streep: así son los cuatro conocidos hijos que tuvo con el escultor Don Gummer,No te pierdas esta selección de los productos más rebajados y las mejores ofertas en el último día del Amazon Prime Day 2021,"noticia
porcentaje
Coincidencia 77%
22/06/2021FÁTIMA ELIDRISSI"
107,Seis planes para dar la bienvenida al verano,"Henry Wolfe es músico y actor; Mamie ha aparecido en The Good Wife; Grace ha protagonizado The Newsroom, y Louisa debutará en la pequeña pantalla con la nueva serie del creador de Downton Abbey.","noticia
porcentaje
Coincidencia 77%
22/06/2021M.C."
108,"La conversión de Marco Antonio Solís, el ídolo mexicano que pasó de querer ser cura a cantarle al amor gay","Chiringuito Puerta del Ángel, a un paso de Madrid Río y la Casa de Campo, inaugura este fin de semana MadBeach Club, un espacio multifuncional y multicultural al aire libre ambientado como un beachclub de playa, con un aforo para 3","noticia
porcentaje
Coincidencia 79%
22/06/2021ANDREA M.ROSA DEL PINO"
109,La Reina Sofía vuelve a la agenda de Zarzuela después de sus viajes familiares,"Al otro lado del charco, el nombre Marco Antonio Solís es sinónimo de fama, éxito y popularidad. Y es que el mexicano ha vendido más 20.000.000 de discos (casi lo mismo que Alejandro Sanz) y la academia estadounidense lo ha honrado con seis nominaciones al Grammy. Por lo que no es de sorprender que ...","noticia
porcentaje
Coincidencia 72%
22/06/2021M. PINA"
110,El Auditorio Nacional de Madrid acogerá el tercer concierto sinfónico solidario Dreamers,"Ha estado en Atenas y en Ginebra, con su hermano y su hija, la Infanta Cristina. Esta semana tiene muchos actos","noticia
porcentaje
Coincidencia 86%
21/06/2021E. M."
111,"'Un lugar tranquilo 2', lo nuevo de Salma Hayek y todos los estrenos de cine de la semana","El Auditorio Nacional de Música de Madrid acogerá el próximo 26 de noviembre de 2021 el tercer concierto sinfónico solidario Dreamers, un evento organizado por Fundación Gmp y el maestro Ramón Torrelledó, con la colaboración de Fundación Marjal. Como en ediciones anteriores, el...","noticia
porcentaje
Coincidencia 72%
21/06/2021JAVIER ESTRADA"
112,"Audi RS 5 SportbackQuattro, fuerza y belleza se dan la mano","La cartelera se renueva con películas que llegan a las salas el 16 y el 18 de junio, por ejemplo, Un lugar tranquilo 2, un thriller con Emily Blunt. Pero hay más opciones para disfrutar del cine en pantalla grande como El otro guardaespaldas 2, con Ryan Reynolds, Samuel L. Jackson y Salma Hayek, o...","noticia
porcentaje
Coincidencia 70%
21/06/2021FERNANDO LLAMAS"
113,"Nativel Preciado: ""Esta pandemia ha servido para dejar en evidencia a los gorrones, a todos los que viven del cuento""",Asombra la capacidad que exhibe este Audi de 450 caballos para compensar su casta deportiva con el temperamento sosegado que aporta su ingeniería.,"noticia
porcentaje
Coincidencia 70%
21/06/2021MARISA DEL BOSQUE"
114,Amazon Prime Day 2021: las mejores ofertas en auriculares bluetooth,"El de Nativel Preciado (Madrid, 1948) es otro cuento, uno bien distinto, el de un santuario de elefantes y un atardecer rojo en África; una historia de aventuras, según nos explica ella misma, que funciona como un 'cuento de adultos'","noticia
porcentaje
Coincidencia 70%
21/06/2021PIXEL"
115,"Amazon Prime Day 2021: los mejores descuentos y ofertas de Samsung, Cecotec, Xiaomi, Huawei y otras grandes marcas","El Prime Day ya está funcionando a toda máquina, así que no se nos ocurre mejor momento para renovar o hacerse con unos buenos auriculares bluetooth para el móvil","noticia
porcentaje
Coincidencia 72%
21/06/2021BAZAR"
116,Seis gadgets muy rebajados en el Amazon Prime Day que te querrás comprar ya,"Tabletas, televisiones, móviles, microondas, 'smartwatches', ollas programables, una lavadora Zanussi... Una selección de los chollos en grandes marcas que nos trae el Amazon Prime Day 2021","noticia
porcentaje
Coincidencia 70%
21/06/2021ANA BRETÓN"
117,Ruta por el Madrid macarra y salvaje,"El 21 y 22 de junio, Amazon celebra su gran fiesta de las compras, el Amazon Prime Day, con miles de artículos rebajados de manera espectacular, un momento especialmente propicio para hacerte con ese gadget que necesitas (o sencillamente, deseas a muerte): un smartphone, un reloj deportivo, unos...","noticia
porcentaje
Coincidencia 72%
20/06/2021ANA DEL BARRIO"
118,"Autodeterminación de género, profesores, bajada de la luz y vivienda: el giro social del Gobierno para evitar que el malestar explote en las calles","Iñaki Domínguez disecciona la historia de Madrid a través de sus mitos callejeros. Dum Dum Pacheco, Juanma El Terrible o El Francés son algunos de esos macarras memorables que poblaban la ciudad, dignos de tener su propia serie de Netflix.","noticia
porcentaje
Coincidencia 70%
20/06/2021OLGA R. SANMARTÍN , RAÚL PIÑA"
119,"Morata, un abrazo redentor con Luis Enrique y un áspero mensaje final: ""Que digan lo que quieran""",Las posiciones encalladas entre PSOE y Unidas Podemos se han mantenido hasta ahora pese a la marcha de Pablo iglesias,"noticia
porcentaje
Coincidencia 70%
20/06/2021CARLOS GUISASOLA"
120,Un estudio revela que también escuchar música cerca de la hora de acostarse perturba el sueño,"El delantero rompe su sequía, pero no es suficiente. Gerard Moreno, que falló su primer penalti de la temporada tras 12 lanzamientos sin fallo","noticia
porcentaje
Coincidencia 86%
19/06/2021EUROPA PRESS"
121,"Noche de violencia ""extrema"" por una ""rave"" en el oeste de Francia","PSICOLOGÍA Investigador de la Universidad de Baylor, EEUU","noticia
porcentaje
Coincidencia 72%
19/06/2021AFP"
122,"Hora de caminar por la playa, entre otros beneficios, quema un 50% más de calorías","'Nuestros cerebros siguen procesando la música aunque no esté sonando, incluso aparentemente mientras dormimos', afirma el investigador","noticia
porcentaje
Coincidencia 70%
19/06/2021MARISA DEL BOSQUE"
123,Lorca en el espejo: el lado más comprometido del poeta,"La gendarmería había intervenido durante la noche para evitar esta fiesta rave en Bretaña, cerca de Redon. Según la prefectura, los participantes intentaron montar la fiesta en el hipódromo local","noticia
porcentaje
Coincidencia 76%
19/06/2021ISMAEL MARINERO"
124,"Gonzalo García Pelayo: ""La cultura es ahora como un cinturón","No importa cómo de vaga seas; en verano caminar por la playa resulta un ejercicio tan agradable que parece que no lo hicieras, con el que no se suda y que te permite perder muchas calorías, en concreto un 50% más de lo habitual cuando lo hacemos sobre otras superficies","noticia
porcentaje
Coincidencia 74%
19/06/2021FERNANDO PALMERO"
125,"Chimo Bayo, 30 años gritando ¡Hu-ha!: ""Vine del espacio exterior para hacer disfrutar a la gente""","De Federico García Lorca se han hecho miles de adaptaciones teatrales, se han escrito cientos de libros y se han filmado media decena de películas. Pero nadie, hasta que Juan Diego Botto y Sergio Peris-Mencheta pusieron en marcha Una noche sin luna, se había acercado a su figura rescatando viejas y ...","noticia
porcentaje
Coincidencia 81%
18/06/2021RODRIGO TERRASA"
126,La Justicia rechaza la 'patada en la puerta' que defendió Marlaska para frenar una fiesta durante el estado de alarma,"Pocos directores pueden presumir de que un pensador, en este caso Agapito Maestre, haya dedicado un ensayo de filosofía y de estética a analizar su obra cinematográfica. En La razón alegre (Unión Editorial, 2021), el catedrático de la Complutense califica el cine de Gonzalo García Pelayo como «el má...","noticia
porcentaje
Coincidencia 70%
18/06/2021MANUEL MARRACO"
127,"El Cigala pide disculpas: ""No me refería a las mujeres del mundo sino a una sola""","Se cumplen tres décadas de 'Así me gusta a mí', el himno de la ruta del bakalao que catapultó a la fama al DJ valenciano y que llevó al éxtasis a toda una generación","noticia
porcentaje
Coincidencia 70%
18/06/2021R. KELLER"
128,La guitarra clásica se reivindica,La Audiencia de Madrid considera que hubo 'un exceso' de los agentes frente a la inviolabilidad del domicilio,"noticia
porcentaje
Coincidencia 81%
18/06/2021IGNACIO ARBALEJO"
129,"Carlos Hipólito sorprende en Pasapalabra cantando New York, New York","El cantaor ha emitido un comunicado en el que espera que la justicia se pronuncie: 'Sólo entonces sabremos quién ha actuado de mala fe, quién lleva la razón y quién no'.","noticia
porcentaje
Coincidencia 76%
18/06/2021TRESB"
130,'Reinas negras': el núcleo del ADN de Martín Chirino,"Al compositor francés Héctor Berlioz, uno de los renovadores del sinfonismo del siglo XIX, que era guitarrista en vez de pianista, se le atribuye la frase que muchos consideran apócrifa de 'La guitarra es una pequeña orquesta'","noticia
porcentaje
Coincidencia 70%
18/06/2021LUIS ALEMANY"
131,"Alberto, el hijo menos conocido de Carlos Herrera que le sustituirá en la radio: experto en marketing, músico y futbolero",Roberto Leal se quedó asombrado ante el talento musical del actor y planteó la posibilidad de que colabore con Cepeda,"noticia
porcentaje
Coincidencia 76%
18/06/2021LOC"
132,"Amazon Prime 2021: Havaianas al 46%, un enchufe inteligente por 7 euros, una crema facial antiarrugas de L'Oréal al 40% y otros descuentos a los que puedes acceder sin ser Prime","La Fundación del artista reúne sus piezas fundacionales junto a ¡sus influencias: Klee, Julio González, el arte africano...","noticia
porcentaje
Coincidencia 76%
17/06/2021BAZAR"
133,"Cerrar ventanas, poner música alta y no acariciar al animal con miedo: Así recomiendan los animalistas evitar el efecto de los petardos en los perros","Conducirá el tramo de 10 a 12 de la mañana junto a Bárbara Archilla. Ya tenía la sección 'Yo te lo explico, papá'","noticia
porcentaje
Coincidencia 74%
17/06/2021GERMÁN GONZÁLEZ"
134,"Patti Smith, Brian Wilson y Emmylou Harris actuarán en Azkena Rock 2022","¿Cuándo es el Prime Day 2021? ¿Merece la pena hacerse usuario Prime? ¿Habrá rebajas en marcas como Apple, Xiaomi, Under Armour o Samsung? Te lo explicamos todo para que no tengas ninguna duda y te adelantamos las primeras ofertas","noticia
porcentaje
Coincidencia 79%
17/06/2021El Mundo"
135,Hipersexualización infantil: ¿desde cuándo una niña 'necesita' llevar bikinis con relleno?,SOS Galgos insta a 'promover los pueblos y ciudades libres de ruido' como pasa en Europa,"noticia
porcentaje
Coincidencia 72%
17/06/2021ALBA MARÍA GARCÍA RASERO"
136,"Poemas de amor y erotismo de Sonsoles Soto: ""Quiero tenerte enredado en mi cuerpo""",El Festival de Vitoria celebrará su 20 aniversario del 16 al 18 de junio del próximo año,"noticia
porcentaje
Coincidencia 72%
17/06/2021EL MUNDO"
137,Vuelve el Orgullo Gay: un aforo de 25.000 personas y sin carrozas,La sexualidad es un conjunto de comportamientos que caracteriza a la persona y al animal,"noticia
porcentaje
Coincidencia 70%
17/06/2021LUIS F. DURÁN"
138,Cinco (auténticos) restaurantes indios para darse un festín,"Hace unos días Sonsoles Soto, más conocida como la 'musa de Ávila', se convirtió en el centro de las miradas, la mayoría perplejas, al intervenir en el programa Magazine del canal local La 8 de Castilla y León y leer en directo un poema erótico muy explícito de su última antología, Creando almas (Pu...","noticia
porcentaje
Coincidencia 70%
17/06/2021ISABEL MUÑOZ"
139,Las Ventas cumple 90 años: del Che y Himmler a los tendidos millonarios del felipismo,Los organizadores de COGAM ultiman con la Delegación de Gobierno los detalles del evento con la colaboración de la vicealcaldía del Ayuntamiento de Madrid,"noticia
porcentaje
Coincidencia 70%
17/06/2021CONSUELO FONT"
140,"Delaporte, Rigoberta Bandini y el triunfo del nuevo pop español en los Premios de la Música Independiente","Ya sean nuevos miembros de una saga de reconocidos comedores indios, clásicos de la oferta capitalina o que aboguen por lo contemporáneo, en Madrid existen grandes representantes de la verdadera cocina india.","noticia
porcentaje
Coincidencia 86%
16/06/2021PABLO GIL"
141,Francia levanta el toque de queda y permite salir a la calle sin mascarilla,"La plaza se inauguró el 17 de junio de 1931 con una corrida a beneficio de los obreros en paro organizada por el alcalde de Madrid. Por sus tendidos han desfilado personalidades mundiales de la política, el cine, la literatura o los negocios.","noticia
porcentaje
Coincidencia 70%
16/06/2021IÑAKI GIL"
142,MadBeach retrasa una semana la inauguración de su espacio playero en la capital,"Delaporte y Rigoberta Bandini, dos propuestas jóvenes de sonido electrónico, protagonizan la gala anual de la música 'indie'","noticia
porcentaje
Coincidencia 73%
16/06/2021MARÍA VAQUERO"
143,"La carrera de fondo de un abogado sordo: ""Mi mayor motivación es defender al débil frente a los abusos""","Los franceses no estarán obligados a usar mascarilla en exteriores y a partir de este domingo cae el toque de queda, diez días antes de lo previsto por el gobierno","noticia
porcentaje
Coincidencia 70%
16/06/2021SANDRA MORALES"
144,"Amazon Prime Day 2021: ronquina, una pulsera de actividad Xiaomi Band 5, un ventilador Obergozo y otros descuentos",El escenario Puerta del Ángel tendrá que esperar hasta el 23 de junio para abrir las instalaciones del que será el 'place to be' madrileño del verano,"noticia
porcentaje
Coincidencia 76%
16/06/2021BAZAR"
145,Ecologistas denuncian ante el Seprona los conciertos en el Molí de la Font de Castellón y exigen informes,La vida de este letrado ha sido una carrera de fondo desde que el virus del sarampión le causó una hipoacusia severa con cuatro años. Aún espera que la Conselleria apruebe el uso de las mascarillas inclusivas en los Juzgados,"noticia
porcentaje
Coincidencia 70%
16/06/2021EUROPA PRESS"
146,Metallica será cabeza de cartel de Mad Cool 2022,"A menos de una semana para disfrutar de millones de chollos en el Amazon Prime Day 2021, ya hay algunas ofertas en moda, hogar, belleza, deporte, tecnología...","noticia
porcentaje
Coincidencia 76%
16/06/2021EL MUNDO"
147,"El SanSan, primer festival con público de pie y sin limitar aforo en pandemia",Gecen pide que se realice un informe sobre las afecciones a la biodiversidad amenazada de extinción que la contaminación acústica y luminosa hayan provocado.,"noticia
porcentaje
Coincidencia 79%
16/06/2021N. S."
148,"¿Comprar o alquilar un iPhone? Llega a España Grover, uno de los primeros portales de renting de tecnología","Muse, Imagine Dragons, The Killers, Kings of Leon, Twenty One Pilots y St. Vincent también actuarán en el festival madrileño, que se celebrará entre el 6 y el 9 de julio de 2022","noticia
porcentaje
Coincidencia 70%
16/06/2021BRUNO TOLEDANO"
149,"Najwa Nimri, de La casa de papel: ""Hacer clic y denunciar algo no te convierte en buena persona""","El certamen de Benicàssim regresa del 29 al 31 de octubre tras tres ediciones fallidas con «el mejor cartel de la historia», cuatro escenarios y 10.000 primeros abonos a la venta","noticia
porcentaje
Coincidencia 79%
16/06/2021DARÍO PRIETO"
150,"Las Noches de Verano vuelven a CaixaForum: música, poesía y cine para las veladas estivales","Grover se expande a España con negocio basado en el alquiler de tecnología de alta gama, desde iPhones a televisores, pasando por cámaras fotográficas o videoconsolas","noticia
porcentaje
Coincidencia 86%
16/06/2021MARÍA VAQUERO"
151,"Red Points, el Supermán que protege las marcas","Pamplona, 1971. Mientras se ultima la quinta temporada de la popular serie de Netflix, la actriz, cantante y compositora Najwa Nimri presenta AMA (Mushroom Pillow), un disco de boleros hecho en pandemia en el que han colaborado Pablo Alborán, Israel Fernández, Álvaro Morte y Rusowsky.","noticia
porcentaje
Coincidencia 70%
16/06/2021Fede Durán"
152,La estrategia de boicot al Rey que el independentismo empezó con Juan Carlos,La nueva edición incluirá recitales como el del actor Alberto San Juan y conciertos como el del grupo Black Pearl Gospel,"noticia
porcentaje
Coincidencia 70%
16/06/2021Iñaki Ellakuría"
153,La Resistencia: Abraham Mateo vuelve a versionar a Raphael igual que en su debut en televisión,"En el 'top 10' de las 'startups' españolas, Red Points cuenta con potentes soluciones contra la piratería, las falsificaciones y el omnipresente estafador digital.","noticia
porcentaje
Coincidencia 72%
15/06/2021TRESB"
154,"Leticia Sabater vacuna a Sánchez y Ayuso en su nuevo hit, La Bananakiki",El desplante de Aragonès a Felipe VI en el Círculo de Economía forma parte de un plan de erosión a la institución que inició Artur Mas en 2012,"noticia
porcentaje
Coincidencia 70%
15/06/2021F5"
155,Kiko Rivera vuelve a las redes sociales solo dos días después de decir que las dejaba,El artista sorprendió a David Broncano con un regalo que venía acompañado de un mensaje de 50 Cent,"noticia
porcentaje
Coincidencia 72%
15/06/2021TRESB"
156,Ocho recomendaciones para planear la semana,Su nueva canción se ha convertido de nuevo en trending topic en las redes sociales,"noticia
porcentaje
Coincidencia 74%
15/06/2021M.C."
157,"La astrofísica Sara Seager: ""Va a ser muy difícil encontrar un planeta gemelo de la Tierra""",El DJ abandonó Instagram tras su tenso enfrentamiento con Anabel Pantoja en Viernes Deluxe,"noticia
porcentaje
Coincidencia 70%
15/06/2021TERESA GUERRERO"
158,"José Manuel Zapata: ""El conservatorio es una fosa común de vocaciones musicales""","Arte La sala de Arte Invitado del Museo Lázaro Galdiano expondrá durante unos meses Interior con helecho negro, uno de los últimos óleos pintados en 1948 por Matisse antes de dedicarse, casi exclusivamente, a sus papiers découpées","noticia
porcentaje
Coincidencia 86%
15/06/2021SILVIA MORENO"
159,"El grupo de bailarines de la tercera edad que arrasa en Aluche: ""La música nos salvó en la pandemia""","Sara Seager tiene dos misiones: hallar un mundo como la Tierra y esclarecer si hay vida en Venus. En su último libro, la 'Indiana Jones de la astronomía' desgrana sus investigaciones en el MIT y la muerte por cáncer de su primer marido y de su padre","noticia
porcentaje
Coincidencia 80%
15/06/2021MARÍA VAQUERO"
160,'El vientre del mar' arrasa con 6 premios en el Festival de cine de Málaga,"José Manuel Zapata. Granada, 1973. El tenor estará el 26 de junio en el Festival de Mérida, donde ofrecerá el concierto 'From Bach to Radiohead'. Fue jurado en el programa Prodigios de TVE y publicó recientemente el libro 'Música para la vida' (Planeta). En constante transformación.","noticia
porcentaje
Coincidencia 70%
14/06/2021LUIS MARTÍNEZ"
161,"E3 2021: Todas las novedades y videojuegos que pronto llegarán a PS5, Xbox y PC",Los asistentes a estas clases disfrutan del baile a la vez que se mantienen 'activos y ocupados' en cuerpo y mente,"noticia
porcentaje
Coincidencia 70%
14/06/2021RAQUEL DÍAZ"
162,"Eugenia Carballedo, la presidenta de la Asamblea y guerrera cultural de Isabel Díaz Ayuso","La película de Agustí Villaronga consigue la Biznaga de Oro española. El Festival de Málaga, embrujado aún por 'Destello bravío', le concede el Premio del Jurado","noticia
porcentaje
Coincidencia 70%
14/06/2021INMACULADA COBO"
163,Los Veranos de la Villa recuperan su esencia tras la pandemia,"El E3 2021 ha llegado tras un año de parón con una amplia batería de grandes lanzamientos para PlayStation 5, ordenador y Xbox. Aquí te contamos todos los videojuegos de los que pronto podrás disfrutar","noticia
porcentaje
Coincidencia 81%
14/06/2021VIRGINIA GÓMEZ"
164,El Arenal Sound también suspende la edición de 2021,"Tras una dilatada experiencia en la política regional y nacional, María Eugenia Carballedo asume ahora el cargo institucional más importante de su carrera. A la nueva presidenta de la Asamblea le encanta el deporte, la radio y viajar.","noticia
porcentaje
Coincidencia 77%
14/06/2021EFE"
165,"Isak, el ariete precoz que amenaza a España: sangre eritrea, la bendición de Ibrahimovic y cinco idiomas (incluido el tigriña)","Más de 50 propuestas culturales, nacionales e internacionales, se darán cita en 16 escenarios diferentes","noticia
porcentaje
Coincidencia 70%
14/06/2021CARLOS GUISASOLA"
166,El tenso enfrentamiento de Kiko Rivera y Anabel Pantoja en Viernes Deluxe,"Es el segundo festival más multitudinario de España, donde las aglomeraciones son habituales. Estaba prevista del 27 de julio al 1 de agosto y la empresa acaba de anunciar en redes sociales que la traslada al verano de 2022","noticia
porcentaje
Coincidencia 70%
14/06/2021TRESB"
167,"Mariano Sigman: ""El arte y la ciencia son distintas maneras de indagar en los límites de la realidad""",El ariete sueco aterriza en su primera Eurocopa tras consolidarse como una pieza clave de la Real Sociedad (17 goles este curso) y con la espina de no poder compartir delantera con su ídolo Zlatan,"noticia
porcentaje
Coincidencia 86%
14/06/2021ISMAEL MARINERO"
168,"Manifestación en Colón, en directo | Miles de personas desbordan la plaza contra los indultos: ""¡Basta ya!""",El DJ tomó una decisión drástica el día después de reencontrarse con su prima en el programa de Telecinco,"noticia
porcentaje
Coincidencia 72%
13/06/2021CRISTINA LUIS | JUANMA LAMET | ÁLVARO CARVAJAL | FERNANDO LÁZARO | EMILIA LANDALUCE | DANIEL SOMOLINOS | PAULINE BOUSSARIE"
169,"Amazon Prime Day 2021: un robot de cocina Cecotec al 50%, unas chanclas Levi's, una crema para hombre de L'Oréal, una aspiradora para el coche al 61% de descuento...",El neurocientífico argentino y autor del ensayo superventas 'La vida secreta del cerebro' debuta ahora como músico en un disco que incluye la colaboración de Jorge Drexler.,"noticia
porcentaje
Coincidencia 73%
13/06/2021BAZAR"
170,"Berlanga en su centenario: ""Supo mostrar un espejo lúcido de lo que somos""",Miles de ciudadanos se han concentrado en la plaza de Colón para mostrar su rechazo a la concesión de indultos a los condenados por el 'procés' al grito de '¡Basta ya!',"noticia
porcentaje
Coincidencia 74%
13/06/2021EL MUNDO"
171,"Coronavirus España hoy, última hora | Moscú decreta una semana de vacaciones para frenar los contagios de coronavirus","Hogar, moda, deporte, tecnología, belleza... He aquí una selección de los mejores descuentos que puedes encontrar en Amazon","noticia
porcentaje
Coincidencia 72%
13/06/2021ESTHER MUCIENTES | ISABEL MUNERA"
172,"Amazon Prime Day 2021: un corrector de ojeras Maybelline por 3 euros, Airpods al 30% de descuento, fundas impermeables para el móvil, unas mancuernas...",Ximo Puig afirma en el homenaje institucional al cineasta que 'este país necesita una mirada berlanguiana que destense',"noticia
porcentaje
Coincidencia 73%
12/06/2021BAZAR"
173,Cinco tours que no te puedes perder en Málaga este verano,"Según los últimos datos de Sanidad, España contabiliza 4.142 nuevos contagios de coronavirus, con lo que el número de casos asciende a 3.733.600","noticia
porcentaje
Coincidencia 70%
12/06/2021ISABEL GARCÍA"
174,"Noches estivales y música al aire libre, el cóctel perfecto","El gigante del 'e-commerce' ya tiene grandes descuentos a los que te merece la pena echar un vistazo, aunque todavía quedan algunos días para el Amazon Prime Day 2021. Hogar, moda, belleza, deporte, tecnología... No falta de nada","noticia
porcentaje
Coincidencia 79%
12/06/2021ISMAEL MARINERO"
175,"Maria Callas: ""Mi esposo me molesta después de haberme robado""","La ciudad andaluza bulle en cualquier época del año. Y más aún en verano. Es el momento de disfrutar al máximo de su puerto, sus museos, sus calles, sus monumentos... La recorremos al completo.","noticia
porcentaje
Coincidencia 74%
12/06/2021BENJAMIN G. ROSADO"
176,"Mallorca, la pastelería que no tiene nada que ver con Mallorca: ""En 90 años no cerramos ni durante la guerra civil, pero llegó la pandemia y...""","El de 2021 es el verano de los reencuentros. Algunas de las medidas de restricción provocadas por la pandemia se han relajado y, con algo más de margen para el ocio nocturno, regresan citas imprescindibles del verano madrileño. Un buen ejemplo es el ciclo Noches del Botánico, que llega a su quinta...","noticia
porcentaje
Coincidencia 72%
12/06/2021INMACULADA COBO"
177,"Ed Sheeran anuncia el lanzamiento de Bad Habits, su primer single en 4 años","«Maria carecía en la intimidad de los más mínimos recursos de supervivencia» escribe su biógrafa, Lyndsy Spence.","noticia
porcentaje
Coincidencia 79%
11/06/2021EFE"
