,Texto,Clase,Fecha,Autores,Coincidencia_elmundo
139,los organizadores de cogam ultiman con la delegacion de gobierno los detalles del evento con la colaboracion de la vicealcaldia del ayuntamiento de madrid,noticia,2021-06-17,CONSUELO FONT,70
140,"ya sean nuevos miembros de una saga de reconocidos comedores indios, clasicos de la oferta capitalina o que aboguen por lo contemporaneo, en madrid existen grandes representantes de la verdadera cocina india.",noticia,2021-06-16,PABLO GIL,86
141,"la plaza se inauguro el 17 de junio de 1931 con una corrida a beneficio de los obreros en paro organizada por el alcalde de madrid. por sus tendidos han desfilado personalidades mundiales de la politica, el cine, la literatura o los negocios.",noticia,2021-06-16,IAKI GIL,70
142,"delaporte y rigoberta bandini, dos propuestas jovenes de sonido electronico, protagonizan la gala anual de la musica 'indie'",noticia,2021-06-16,MARA VAQUERO,73
143,"los franceses no estaran obligados a usar mascarilla en exteriores y a partir de este domingo cae el toque de queda, diez dias antes de lo previsto por el gobierno",noticia,2021-06-16,SANDRA MORALES,70
144,el escenario puerta del angel tendra que esperar hasta el 23 de junio para abrir las instalaciones del que sera el 'place to be' madrileño del verano,noticia,2021-06-16,BAZAR,76
145,la vida de este letrado ha sido una carrera de fondo desde que el virus del sarampion le causo una hipoacusia severa con cuatro años. aun espera que la conselleria apruebe el uso de las mascarillas inclusivas en los juzgados,noticia,2021-06-16,EUROPA PRESS,70
146,"a menos de una semana para disfrutar de millones de chollos en el amazon prime day 2021, ya hay algunas ofertas en moda, hogar, belleza, deporte, tecnologia...",noticia,2021-06-16,EL MUNDO,76
147,gecen pide que se realice un informe sobre las afecciones a la biodiversidad amenazada de extincion que la contaminacion acustica y luminosa hayan provocado.,noticia,2021-06-16,N S,79
148,"muse, imagine dragons, the killers, kings of leon, twenty one pilots y st. vincent tambien actuaran en el festival madrileño, que se celebrara entre el 6 y el 9 de julio de 2022",noticia,2021-06-16,BRUNO TOLEDANO,70
149,"el certamen de benicàssim regresa del 29 al 31 de octubre tras tres ediciones fallidas con «el mejor cartel de la historia», cuatro escenarios y 10.000 primeros abonos a la venta",noticia,2021-06-16,DARO PRIETO,79
150,"grover se expande a españa con negocio basado en el alquiler de tecnologia de alta gama, desde iphones a televisores, pasando por camaras fotograficas o videoconsolas",noticia,2021-06-16,MARA VAQUERO,86
151,"pamplona, 1971. mientras se ultima la quinta temporada de la popular serie de netflix, la actriz, cantante y compositora najwa nimri presenta ama (mushroom pillow), un disco de boleros hecho en pandemia en el que han colaborado pablo alboran, israel fernandez, alvaro morte y rusowsky.",noticia,2021-06-16,F D,70
152,la nueva edicion incluira recitales como el del actor alberto san juan y conciertos como el del grupo black pearl gospel,noticia,2021-06-16,I E,70
153,"en el 'top 10' de las 'startups' españolas, red points cuenta con potentes soluciones contra la pirateria, las falsificaciones y el omnipresente estafador digital.",noticia,2021-06-15,TRESB,72
154,el desplante de aragonès a felipe vi en el circulo de economia forma parte de un plan de erosion a la institucion que inicio artur mas en 2012,noticia,2021-06-15,F,70
155,el artista sorprendio a david broncano con un regalo que venia acompañado de un mensaje de 50 cent,noticia,2021-06-15,TRESB,72
156,su nueva cancion se ha convertido de nuevo en trending topic en las redes sociales,noticia,2021-06-15,MC,74
157,el dj abandono instagram tras su tenso enfrentamiento con anabel pantoja en viernes deluxe,noticia,2021-06-15,TERESA GUERRERO,70
158,"arte la sala de arte invitado del museo lazaro galdiano expondra durante unos meses interior con helecho negro, uno de los ultimos oleos pintados en 1948 por matisse antes de dedicarse, casi exclusivamente, a sus papiers decoupees",noticia,2021-06-15,SILVIA MORENO,86
159,"sara seager tiene dos misiones: hallar un mundo como la tierra y esclarecer si hay vida en venus. en su ultimo libro, la 'indiana jones de la astronomia' desgrana sus investigaciones en el mit y la muerte por cancer de su primer marido y de su padre",noticia,2021-06-15,MARA VAQUERO,80
160,"jose manuel zapata. granada, 1973. el tenor estara el 26 de junio en el festival de merida, donde ofrecera el concierto 'from bach to radiohead'. fue jurado en el programa prodigios de tve y publico recientemente el libro 'musica para la vida' (planeta). en constante transformacion.",noticia,2021-06-14,LUIS MARTNEZ,70
161,los asistentes a estas clases disfrutan del baile a la vez que se mantienen 'activos y ocupados' en cuerpo y mente,noticia,2021-06-14,RAQUEL DAZ,70
162,"la pelicula de agusti villaronga consigue la biznaga de oro española. el festival de malaga, embrujado aun por 'destello bravio', le concede el premio del jurado",noticia,2021-06-14,INMACULADA COBO,70
163,"el e3 2021 ha llegado tras un año de paron con una amplia bateria de grandes lanzamientos para playstation 5, ordenador y xbox. aqui te contamos todos los videojuegos de los que pronto podras disfrutar",noticia,2021-06-14,VIRGINIA GMEZ,81
164,"tras una dilatada experiencia en la politica regional y nacional, maria eugenia carballedo asume ahora el cargo institucional mas importante de su carrera. a la nueva presidenta de la asamblea le encanta el deporte, la radio y viajar.",noticia,2021-06-14,EFE,77
165,"mas de 50 propuestas culturales, nacionales e internacionales, se daran cita en 16 escenarios diferentes",noticia,2021-06-14,CARLOS GUISASOLA,70
166,"es el segundo festival mas multitudinario de españa, donde las aglomeraciones son habituales. estaba prevista del 27 de julio al 1 de agosto y la empresa acaba de anunciar en redes sociales que la traslada al verano de 2022",noticia,2021-06-14,TRESB,70
167,el ariete sueco aterriza en su primera eurocopa tras consolidarse como una pieza clave de la real sociedad (17 goles este curso) y con la espina de no poder compartir delantera con su idolo zlatan,noticia,2021-06-14,ISMAEL MARINERO,86
168,el dj tomo una decision drastica el dia despues de reencontrarse con su prima en el programa de telecinco,noticia,2021-06-13,CRISTINA LUIS | JUANMA LAMET | LVARO CARVAJAL | FERNANDO LZARO | EMILIA LANDALUCE | DANIEL SOMOLINOS | PAULINE BOUSSARIE,72
169,el neurocientifico argentino y autor del ensayo superventas 'la vida secreta del cerebro' debuta ahora como musico en un disco que incluye la colaboracion de jorge drexler.,noticia,2021-06-13,BAZAR,73
170,miles de ciudadanos se han concentrado en la plaza de colon para mostrar su rechazo a la concesion de indultos a los condenados por el 'proces' al grito de '¡basta ya!',noticia,2021-06-13,EL MUNDO,74
171,"hogar, moda, deporte, tecnologia, belleza... he aqui una seleccion de los mejores descuentos que puedes encontrar en amazon",noticia,2021-06-13,ESTHER MUCIENTES | ISABEL MUNERA,72
172,ximo puig afirma en el homenaje institucional al cineasta que 'este pais necesita una mirada berlanguiana que destense',noticia,2021-12-06,BAZAR,73
173,"segun los ultimos datos de sanidad, españa contabiliza 4.142 nuevos contagios de coronavirus, con lo que el numero de casos asciende a 3.733.600",noticia,2021-12-06,ISABEL GARCA,70
174,"el gigante del 'e-commerce' ya tiene grandes descuentos a los que te merece la pena echar un vistazo, aunque todavia quedan algunos dias para el amazon prime day 2021. hogar, moda, belleza, deporte, tecnologia... no falta de nada",noticia,2021-12-06,ISMAEL MARINERO,79
175,"la ciudad andaluza bulle en cualquier epoca del año. y mas aun en verano. es el momento de disfrutar al maximo de su puerto, sus museos, sus calles, sus monumentos... la recorremos al completo.",noticia,2021-12-06,BENJAMIN G ROSADO,74
176,"el de 2021 es el verano de los reencuentros. algunas de las medidas de restriccion provocadas por la pandemia se han relajado y, con algo mas de margen para el ocio nocturno, regresan citas imprescindibles del verano madrileño. un buen ejemplo es el ciclo noches del botanico, que llega a su quinta...",noticia,2021-12-06,INMACULADA COBO,72
177,"«maria carecia en la intimidad de los mas minimos recursos de supervivencia» escribe su biografa, lyndsy spence.",noticia,2021-11-06,EFE,79
178,"los hermanos moreno son la cuarta generacion al frente de pastelerias mallorca, la empresa familiar que este 2021 cumple su 90 aniversario. como todas, ha resurgido de las cenizas de la pandemia.",noticia,2021-11-06,EL MUNDO,70
179,el cantautor britanico ha anunciado su primer single en solitario que vera la luz el proximo 25 de junio,noticia,2021-11-06,VIRGINIA GMEZ,84
180,"humor, actuaciones y premios sorpresa a las caras mas conocidas de la cadena en un programa especial que se retransmitio desde el teatro principal de valencia con una media de 117.000 espectadores",noticia,2021-11-06,CRISTINA LUIS  REDA SLAFTI V,86
181,mas de 30 artistas pasaran por la explanda del recinto ferial el proximo mes a lo largo de 15 conciertos,noticia,2021-11-06,ANDREA M ROSA DEL PINO,76
182,"lennis rodriguez (republica dominicana, 1994) hace equilibrios entre su vida como madre soltera y sus compromisos como artista. trabajaba como camarera hasta que un dia se lanzo a buscar su oportunidad en la musica. en apenas dos años, ha logrado que mas de medio millon de personas ...",noticia,2021-11-06,ANA GARCA ROMERO,76
183,"la cantante hispano-finlandesa conversa con loc sobre 'el viaje', la cancion en la que habla de la experiencia de ser madre y el hecho de 'no saber si hizo bien trayendo a su hijo a este mundo de locos'.",noticia,2021-11-06,CRISTINA GALAFATE,83
184,"en el mundo del flamenco no se habla de otra cosa. la detencion de diego el cigala en un hotel de madrid por presunta violencia de genero, tras la denuncia presentada por su pareja, la cantaora kina mendez, quien le acusa de presuntos malos tratos fisicos y psicologicos continuados durante dos años.",noticia,2021-10-06,LUIS FERNANDO ROMO,76
185,"se pinta las uñas con smiley porque le da la gana. el catalan se ha repuesto de un paron en el momento mas algido de su carrera con el optimismo que le caracteriza. un año despues, recupera su gira, tiene colaboraciones con artistas pactadas a traves de un whatsapp y un entrenador personal que le...",noticia,2021-10-06,EFE,73
186,la cantante crecio en uno de los barrios mas conflictivos de los años 80 en nueva york. su destino cambio cuando uno de sus vecinos se mudo y no sabia que hacer con el piano.,noticia,2021-10-06,EFE,70
187,las vacaciones de navidad comenzaran el 23 de diciembre y las clases se reanudaran el 10 de enero,noticia,2021-10-06,DARO PRIETO,74
188,el ex director del museo reina sofia y del ivam y primer conservador jefe del museo thyssen ha fallecido a los 85 años de edad,noticia,2021-10-06,BAZAR,74
189,"el cantante recibe el reconocimiento como embajador honorario del patrimonio mundial de españa e interpreta la aclamacion que recibio en madrid este miercoles: 'con ese grito, mis paisanos dijeron: 'placido, eres nuestro''",noticia,2021-10-06,EL MUNDO,80
190,"una hamaca para el agua, una mascara de snorkel, una toalla antiarena... estos son los imprescindibles para un dia de playa o piscina y que puedes comprar con descuento en amazon",noticia,2021-10-06,MANUEL LLORENTE,73
191,la ministra de igualdad y la portavoz de mas madrid declaran que el ensalzamiento del tenor va en contra de la igualdad,noticia,2021-10-06,LOC,70
192,"mas de 60 espectaculos se representaran la proxima temporada tambien en el matadero, que incluira una exposicion de colita y un homenaje a gerardo vera con carlos hipolito",noticia,2021-10-06,DARO PRIETO,76
193,el cantaor flamenco ha pasado la noche en la comisaria tras ser sido detenido en un hotel de madrid por presuntos malos tratos en jerez de la frontera,noticia,2021-10-06,NOA DE LA TORRE,76
194,"el tenor reconvertido en baritono ha vuelto a actuar en españa, un año y medio despues, en una gala a beneficio de cruz roja celebrada este miercoles en el auditorio nacional de madrid",noticia,2021-10-06,FTIMA ELIDRISSI,73
195,"la protesta por la temporalidad en el sector publico golpea al teatro operistico, cuyos cantantes denuncian que el coro puede acabar desintegrandose",noticia,2021-10-06,REBECCA KELLER,74
196,"conocido por interpretar a tyrion lannister en el drama fantastico de hbo, dinklage esta casado con la directora teatral erica schmidt desde 2005 y el matrimonio tiene dos hijos.",noticia,2021-09-06,EL MUNDO,86
197,"placido domingo (79) empezo 2020 con sobresaltos parecidos a los que tuvo que soportar desde mediados de 2019, cuando una serie de reportajes de la agencia associated press (ap) dieron voz (anonima, en la mayoria de los casos) a mujeres que acusaban al cantante español de presunto acoso y abuso...",noticia,2021-09-06,AFP,70
198,del 21 al 25 de julio jazzaldia celebrara su festival numero 46 en san sebastian y vitoria-gasteiz acogera la 44ª edicion de su festival de jazz del 14 al 18 de julio,noticia,2021-09-06,PIXEL,72
199,"mas de 120 millones de nigerianos tienen acceso a internet y casi el 20% , 40 millones de personas, dicen tener una cuenta de twitter. en el pais, la red social es un medio para interpelar al gobierno",noticia,2021-09-06,BAZAR,70
200,algunas compañias no parecen saber cuando empieza el amazon prime day 2021 porque han puesto las primeras ofertas casi dos semanas antes,noticia,2021-09-06,EFE,86
201,el curso escolar esta llegando a su fin y no hay padre que no se pregunte como conseguir entretener a sus hijos durante los proximos meses de verano. y hay opciones mas alla de los tradicionales cuadernillos santillana,noticia,2021-09-06,ALBERTO MUOZ,86
202,"mas de 50 musicos y amigos de pau dones han participado en la grabacion de la cancion de jarabe de palo 'valiente', cuando se cumple un año de su muerte",noticia,2021-09-06,MARA VAQUERO,80
203,mas de 200 artistas exigen a las plataformas 'una retribucion minima' por su trabajo y piden al gobierno la creacion de un organismo publico que canalice los ingresos por la reproduccion de musica,noticia,2021-09-06,LUIGI BENEDICTO BORGES,81
204,cultura el 12 de junio en la plaza carlos jimenez de parga,noticia,2021-09-06,G  P,70
205,120 vecinos del barrio cuentan sus vivencias y anecdotas en un proyecto comunitario para impulsar el desarrollo sociocultural,noticia,2021-08-06,EM,77
206,las plataformas que conforman españa vaciada proponen dedicar un 1% del producto interior bruto anual a la lucha contra la despoblacion y abordar este problema con un pacto de estado,noticia,2021-08-06,BRUNO TOLEDANO,76
207,el cantaor flamenco con mas proyeccion internacional tiene en su haber hasta 6 latin grammys y en su cita con castellon presentara su gira 'cigala canta a mexico',noticia,2021-08-06,ISABEL MUOZ,70
208,"sony ha renovado el diseño, los drivers, las funciones de insonorizacion y la funda de sus popularisimos auriculares inalambricos, que usan ademas el nuevo estandar bluetooth 5.2",noticia,2021-08-06,JAVIER ESTRADA,79
209,"en madrid, cada vez somos mas asiaticos, gastronomicamente hablando",noticia,2021-08-06,MARISA DEL BOSQUE,79
210,el drama finlandes la violinista llega a los cines el 11 de junio. la pelicula se centra en una famosa violinista que comienza una nueva etapa profesional como profesora de musica,noticia,2021-08-06,ESTHER MUCIENTES  JAVIER MUNERA  PABLO HERRAIZ | ANA CARRASCO,70
211,"miley cyrus ofrecera el proximo 10 de junio, a las 19:30 horas, su primer concierto virtual masterizado en sonido 8d",noticia,2021-08-06,JAVIER BLNQUEZ,77
212,"españa acaba su mejor fin de semana en vacunacion, con 1,25 millones de dosis administradas",noticia,2021-08-06, J  L,70
213,"a sus años sigue haciendo giras, pero no lo hace por dinero o necesidad, sino porque le apetece. sus canciones siguen generando millones.",noticia,2021-07-06,GTRES,70
214,la empresa permitira tambien a los usuarios de dopad crear apps en el propio dispositivo,noticia,2021-07-06,F,79
215,"el futbolista se convierte en la persona mas influyente del mundo en redes sociales, con 570 millones de seguidores, por delante de justin bieber y ariana grande. georgina rodriguez tambien sube y se posiciona por delante de ester exposito.",noticia,2021-07-06,GTRES,70
216,sus versiones de ac/dc o led zeppelin han conseguido millones de visualizaciones en las redes sociales,noticia,2021-07-06,PABLO R ROCES,80
217,el futbolista y cantante ha publicado un mensaje en su instagram que ha desatado la polemica.,noticia,2021-07-06,ROCO NAVARRO,70
218,la granadina forjo su carrera en television y ahora es una referente de la musica urbana femenina: 'no soy ejemplo de nada pero es bonito que la niñas lo perciban asi',noticia,2021-07-06,ANDREA M ROSA DEL PINO,74
219,"el madrileño distrito de arganzuela esta de moda: matadero, el cada vez mas gastronomico barrio de los metales, el museo del ferrocarril y el mercado de motores",noticia,2021-06-06,MANUEL LLORENTE  CARLOS GARCA POZO F,76
220,"la artista andaluza, conocida por interpretar a lola requena en la ficcion, busca nuevos proyectos en la pantalla: 'a quien me escuche o me lea: estoy deseando trabajar'.",noticia,2021-06-06,DAVID LEMA  FOTOS ANTONIO HEREDIA,72
221,"ana arrambarri, la mujer del artista fallecido en febrero, abre las puertas de su templo de trabajo y recuerda su legado: 'era muy noctambulo y trabajaba hasta las cuatro de la madrugada'",noticia,2021-06-06,GERMN GONZLEZ,73
222,"confiesa que cada vez le apetece menos salir de su «buhardillita». condensamos aqui la vida de un hombre, que, dice, existo por azar, «por pura incompetencia»",noticia,2021-06-06,VIRGINIA GMEZ,72
223,la difusion de una campaña de donacion de sangre de unos alumnos de una escuela en barcelona permite ayudar a una niña con leucemia en castellon,noticia,2021-05-06,RODRIGO TERRASA  ILUSTRACIN JOSETXU L PIEIRO,70
224,"los propietarios de los negocios con mas solera del centro de madrid, que han sobrevivido entre horas extra, creditos y reservas, aguardan la llegada de visitantes. para la mayoria, sus cuentas dependen entre un 60 y un 90% de ellos",noticia,2021-05-06,EFE,73
225,"los llamados 'millennials' ha tenido un acceso a la informacion que sus padres ni soñaron, disfrutan mas del ocio y la cultura que ellos, tienen mas libertad, mas igualdad de genero y muchisimas mas facilidades para conciliar",noticia,2021-05-06,MANUEL MATEO PREZ,79
226,el antiguo baño de la mezquita muestra la huella del compositor y musico,noticia,2021-05-06,PABLO R ROCES,70
227,"'express', la primera serie española de stazplay, ha encontrado en esta construccion su escenario para una distopia sobre los secuestros",noticia,2021-05-06,DAVID JIMNEZ TORRES,70
228,"'centenariomania'. javier moreno luzon estudia la festiva revision de la historia de hace un siglo, molde de todos los mitos nacionales",noticia,2021-05-06,PABLO HERRAIZ,79
229,"'starlust' recoge las confesiones mas intimas y alocadas de decenas de fans de la musica ochentera, con especial enfasis en el deseo erotico",noticia,2021-05-06,ANA GARCA ROMERO,70
230,"la interprete de 'se acabo' habla sobre su intensa vida y desmiente que tana rivera la acompañara en la promocion de su nuevo disco, 'la vida a mi manera', lanzado tras 15 años sin grabaciones.",noticia,2021-05-06,MARA EUGENIA YAGE,70
231,"hizo historia con sus modelos trangresores, pero dejo las pasarelas para meterse en los fogones y su restaurante 'taller', en la ribera del duero, ya tiene una estrella michelin poco despues de su estreno.",noticia,2021-05-06,MARA CANALES,73
232,"tradicionales, centenarias, vanguardistas, ecologicas... proponemos una variada ruta por una serie de bodegas de la denominacion de origen muy diferentes entre si.",noticia,2021-05-06,ISMAEL MARINERO,72
233,"a punto de cumplirse 100 años desde el nacimiento de luis garcia berlanga, los homenajes y conmemoraciones en torno a su legado se acumulan, como si fueran los personajes en uno de sus famosos planos-secuencia. el legado infinito del cineasta que mejor retrato el pesimismo patrio teñido de sainete...",noticia,2021-04-06,G  P,70
234,"cada ayuntamiento tiene su propia ordenanza, por lo que no todos los ciudadanos estan expuestos a estas sanciones.",noticia,2021-04-06,PEDRO SIMN  FOTOS ANTONIO HEREDIA,70
235,"el escritor rompe su silencio despues de un año y medio de enfermedad, recuperacion y paradojica calma: 'no tenia miedo a morir, tenia miedo a quedarme mal'",noticia,2021-04-06,TRESB,76
236,el artista se convierte en un personaje de anime en este trabajo que cuenta con varias referencias orientales,noticia,2021-04-06,SANDRA MORALES,86
237,"traductor y profesor en la uji, juanma garcia izquierdo presenta 'tormenta', tema grabado con su hijo mayor que acaba de cumplir 15 años",noticia,2021-04-06,CRISTINA GALAFATE,77
238,"se anima la vida de la capital con los nuevos horarios y la ampliacion de aforos. siempre con cabeza y la maxima responsabilidad, si quieres aprovechar al maximo el tiempo de ocio que el coronavirus te ha robado, aqui cuentas con un abanico de opciones para planificarte.",noticia,2021-04-06,LUIGI BENEDICTO BORGES,70
239,"los jardines del palauet de teià (barcelona), una masia historica y singular del siglo xvii de reconstruccion neomedievalista, se preparan ya para celebrar los dias 11y 12 de junio, origenes festival gastronomico, un evento boutique que busca 'ofrecer una experiencia gastronomica inedita a traves...",noticia,2021-04-06,M CANALES,72
240,"un recien estrenado documental de amazon prime muestra el lado mas intimo de la estrella colombiana del regueton, sus principales preocupaciones y como fueron sus inicios.",noticia,2021-04-06,FTIMA ELIDRISSI,73
241,"con 13 años era drogadicto y con 16 entro en prision. salto a la fama como imagen de los calzoncillos ck antes de triunfar en hollywood. ademas, es un devoto padre de cuatro niños con rhea durham",noticia,2021-04-06,BANG,73
242,"antes de que ricky martin hiciera publica su homosexualidad en 2010, se le atribuyeron un sinfin de novias -algunas confirmadas y otras no- tal y como se esperaria de una estrella de la musica que abrazo por completo el estereotipo de latin lover cuando dio el salto al mercado...",noticia,2021-03-06,EL MUNDO,77
243,"los responsables de la organizacion, tras su reunion con sanidad y turismo explican que las actuales medidas sanitarias 'acotarian la agenda del festival a la celebracion de conciertos con distancia social, y aunque entendemos que son necesarias, resultan incompatibles con la esencia y la atmosfera ...",noticia,2021-03-06,TERESA LPEZ PAVN,70
244,susana diaz blande la carta del feminismo y la 'resistencia' mientras espadas se presenta como el unico que garantiza la reunificacion del psoe andaluz,noticia,2021-03-06,MARA VAQUERO,76
245,el tradicional cambio de guardia de la plaza de la armeria regresa despues del paron provocado por la pandemia,noticia,2021-03-06,PABLO R ROCES,70
246,el mundo accede en exclusiva al plato donde se rueda la temporada final del exito español a nivel mundial de netflix,noticia,2021-03-06,EFE,70
247,desde el viernes pasado se han presentado en el condado varias tiroteos. el hijo de campbell fue tiroteado dentro de un apartamento por el exnovio de la mujer con la que estaba saliendo,noticia,2021-03-06,LUIS MARTNEZ,70
248,"el cineasta ahora literati publica 'los años extraordinarios', un recorrido real, surreal e hiperreal por el mundo del siglo xx de la mano una fabula prodigiosa tan deudora de jonathan swift como de edgar neville, tan castiza como universal",noticia,2021-03-06,,86
249,"pol granch. madrid, 1998. musico. paso de cero a cien al ganar factor x en 2018. paso de cien a mil con el exito de tengo que calmarme, su primer disco, y hits recientes como tiroteo o no pegamos que le han disparado a mas de 2,5 millones de escuchas mensuales en spotify. y ahora...",noticia,2021-02-06,FLIX CEREZO  FLIX GARCA,70
250,"la renacida marca britanica ofrece este suv a pilas de 4,31 metros, muy amplio y bien equipado. por su radio de accion, la ciudad y los alrededores son su territorio natural",noticia,2021-02-06,TRESB,73
251,la cantante ha dado un giro a su carrera y ha plasmado este cambio en el videoclip de tik tak,noticia,2021-02-06,MARA VAQUERO,77
252,"con una amplia oferta de actividades, el evento se celebrara al aire libre, en el escenario puerta del angel",noticia,2021-02-06,LUIS ALEMANY,70
253,"el congreso desarrollara una propuesta de ley que termine con 10 años de fracasos politicos. sin embargo, el gobierno considera que el tema no competencia suya y sus promotores son escepticos.",noticia,2021-02-06,DARO PRIETO,70
254,"santander, 1988. redactora en loc y responsable de la informacion de casa real en el mundo, marina pina ha escrito pilar y margarita. las hermanas del rey juan carlos (la esfera de los libros).",noticia,2021-01-06,LUIS FERNANDO ROMO,86
255,la ex triunfita rompio su relacion con miguel angel muñoz el año pasado y ahora se centra en su nuevo proyecto musical,noticia,2021-01-06,LOC,73
256,rociito ha visitado el municipio de chipiona justo el dia en el que se celebra el 15 aniversario de la muerte de su madre. el 1 de junio de 2006 españa entera conocia la tragica noticia del fallecimiento de una de las figuras mas importantes de la musica de nuestro pais. una fecha...,noticia,2021-01-06,M M,70
257,"los primeros de estos cuentos, con las historias de madame curie, frida khalo o coco chanel se convirtieron en un fenomeno editorial en todo el mundo con mas de cinco millones y medio de libros vendidos. ahora las protagonistas son cien españolas, muchas de ellas de hoy.",noticia,2021-01-06,DAVID VIGARIO,72
258,"rafael alvarez 'el brujo', carlos latre, pablo carbonell y victor ullate tambien participaran en el festival de teatro clasico, a partir del 25 de junio",noticia,2021-01-06,PABLO R ROCES,70
259,"pau gimeno, leon martinez, hector gozalbo y cristian lopez, entre 17 y 20 años, protagonizan la nueva serie de movistar +",noticia,2021-01-06,AMAYA GARCA,80
260,"la cantante y compositora disfruta de la buena acogida de 'puta', su disco 'mas personal y politico'. atras quedan los malos tratos, el acoso y los abusos, ya 'sin verguenza ni culpa'. hoy salen a la venta las entradas de sus proximos conciertos en madrid",noticia,2021-01-06,JAVIER ESTRADA,76
261,genius: aretha es una miniserie de ficcion sobre aretha franklin que llega a disney+ el 4 de junio. esta produccion esta protagonizada por cynthia erivo y cuenta con el aval de national geographic,noticia,2021-01-06,M CANALES,72
262,"fotografia arranca photoespaña 2021, el certamen de las artes visuales y la fotografia que se ha convertido en un referente a nivel internacional",noticia,2021-01-06,ISABEL VELLOSO | SANTIAGO SAIZ,70
263,"el director del ccaes considera 'posible' la eliminacion de la mascarilla al aire libre 'a mediados, finales de junio' y 'casi con seguridad, a finales de julio'",noticia,2021-01-06,JOS FAJARDO,86
264,"icono adolescente por su papel en la serie 'skam', artista precoz, nostalgica de la cultura de la mtv... la argentina estrena su nuevo disco, 'fever dream'",noticia,2021-01-06,SILVIA MORENO,86
265,"salvador sobral. lisboa, 1989. es uno de los artistas mas internacionales de portugal, tras su exito arrollador en eurovision en 2017. acaba de publicar nuevo disco 'bpm', compuesto por el con temas en ingles, portugues y castellano.",noticia,2021-01-06,ANDREA M ROSA DEL PINO,72
266,"el 2021 no ha sido un buen año para la ex triunfita natalia rodriguez (38): hace tres meses fallecio su amigo alex casademunt y, tras 13 años de relacion, rompio con el futbolista alex perez. no obstante, la interprete de vas a volverme loca asegura que, tras una temporada decaida, ya se encuentra...",noticia,2021-01-06,   F A H,70
267,"le avala una de las trayectorias profesionales mas intensas en el mundo de la economia y las finanzas españolas. guillermo de la dehesa, desde su atalaya, observa con preocupacion hacia donde se dirige españa y el mundo.",noticia,2021-01-06,MARA VAQUERO,76
268,el ayuntamiento da prioridad a los vecinos de la localidad madrileña para ocupar las 800 sillas disponibles durante la cita musical,noticia,2021-05-31,LUIS FERNANDO ROMO,74
269,"el musico argentino crecio viendo spaghetti western y se evadia de la realidad fumando porros. presenta en el hormiguero un disco con versiones de raphael, julio iglesias o alejandro sanz.",noticia,2021-05-31,ANDREA M ROSA DEL PINO,81
270,"entrevista colega de froilan, amigo de victoria federica",noticia,2021-05-31,LUIS MARTNEZ,76
271,"jose luis garaña de los cobos presenta su libro 'al otro lado de la cabina', en el que revela el lado b de la fama: una infancia dolorosa, las largas giras internacionales y como la musica le salvo la vida.",noticia,2021-05-31,ANDREA M ROSA DEL PINO,79
272,el cineasta presenta sus 'fotosaurios' (fotos modificadas) de la faraona mientras tiene pendiente de estreno una pelicula y un documental,noticia,2021-05-30,AFP,79
273,"aunque asegura que esta convertido en un 'abuelo', el mitico presentador regresa con mas vitalidad que nunca con 'b.s.o.'. un programa lleno de arte, musica y danza en movistar plus.",noticia,2021-05-30,JAVIER ORTEGA,74
274,"gano cinco premios grammy entre 1977 y 1981, y se dio a conocer en 1966 con una version de 'i'm so lonesome i could cry' del cantante country hank williams y luego con la cancion 'hooked on a feeling' en 1968",noticia,2021-05-29,CARLOS FRESNEDA,84
275,"un documental recupera la figura de la soprano turolense elvira de hidalgo, que descubrio, formo y aconsejo a la 'diva divina' desde su puesto de catedratica vitalicia del conservatorio de la scala de milan, ciudad en la que murio tres años despues que su protegida.",noticia,2021-05-29,ISABEL VELLOSO  JAVIER MUNERA,70
276,"la obra recrea las 24 horas previas al ultimo y memorable gesto del español , que corrio sin pensarselo a ayudar a las victimas tras el atentado",noticia,2021-05-29,MARTA GONZLEZHONTORIA,70
277,"en la septima 'puesta al dia' de la hoja de ruta de inmunizacion ya se incluyen el colectivo entre 40 y 49 años de edad, para el que muchas comunidades ya han decidido empezar en junio",noticia,2021-05-29,ISMAEL MARINERO,70
278,durante la pandemia muchos trotamundos han saciado su sed de viajes y aventura con los cascos puestos. estos son algunos de los podcast que le ayudaran a elegir tu proxima escapada.,noticia,2021-05-28,ZABALA DE LA SERNA,70
279,"el pasado miercoles se presento en el circulo de bellas artes un manifiesto que reclamaba la creacion de un gran centro publico dedicado a la fotografia, capaz de difundir y proteger el patrimonio visual, estimular la creacion y contribuir a reactivar el sector. hasta la creacion de ese centro, si...",noticia,2021-05-28, ,70
280,"cosechan cuatro orejas del preciso y virtuoso envio de justo hernandez, que hasta por sus faltas sirvio para el festin; paco ureña tambien sumo un trofeo",noticia,2021-05-28,ABRAHAM ROMERO,81
281,"viktor kossakovsky convierte un documental sobre la vida de una gorrina en un acontecimiento cinematografico. 'una sociedad no se puede basar en un acto de muerte', dice el director",noticia,2021-05-28,J D M,80
282,"el club blanco firma por cinco temporadas al defensa austriaco, que llega gratis tras terminar contrato con el bayern. de padre nigeriano (principe y musico) y madre filipina (ex miss y enfermera), su vida ha sido multicultural.",noticia,2021-05-28,LUIS FERNANDO ROMO,81
283,el musico andaluz ha presentado su segundo disco en el teatro real. ser de luz es una apuesta por nuevos sonidos.,noticia,2021-05-28,MARINA PINA,70
